Ingredient,Price/kg,Units/kg,Price/Unit,,Conversions,
Rice (kg),41,,,,Item,g/Unit
Bangus (kg),180,3.5,51.43,,Rice (Cup),210
Tilapia (kg),120,5.5,21.82,,Carrot (Whole),140
Galunggong (kg),240,13,18.46,,Garlic (Head),70
Alumahan (kg),300,5,60,,Garlic (Clove),6
Beef Rump (kg),400,,,,Ginger (tbsp),6.4
Beef Brisket (kg),360,,,,Onion (Whole),198.447
Pork Kasim (kg),340,,,,Onion (tbsp),10
Pork Liempo (kg),390,,,,Potato (Whole),200
Whole Chicken (kg),200,,,,Cabbage (Head),908
Egg (per piece),6,,,,Chicken Breast,174
Cabbage (kg),80,1.1,72.73,,Tomato,141.748
Carrot (kg),80,9,8.89,,Calamansi,27.5
Baguio Beans (kg),120,,,,,
Potato (kg),70,11,6.36,,,
Pechay Baguio (kg),80,,,,,
Sayote (kg),40,,,,,
Ampalaya (kg),140,4.5,31.11,,,
Sitaw (kg),90,3.5,25.71,,,
Pechay Tagalog (kg),70,3.5,20,,,
Squash (kg),40,,,,,
Eggplant (kg),100,3.5,28.57,,,
Tomato (kg),80,16.5,4.85,,,
Calamansi (kg),80,,,,,
Banana (kg),60,10,6,,,
Papaya (kg),60,2.5,24,,,
Mango (kg),150,3.5,42.86,,,
Red Onion (kg),80,14,5.71,,,
White Onion (kg),80,,,,,
Imported Garlic (kg),120,,,,,
Local Garlic (kg),275,,,,,
Ginger (kg),120,,,,,
Siling Labuyo (kg),250,,,,,
Refined Sugar (kg),70,,,,,
Washed Sugar (kg),60,,,,,
Brown Sugar (kg),60,,,,,
Palm Oil (L),110,,,,,
Coconut Oil (L),130,,,,,
