index,meal,energy,protein,fat,carbohydrates,sugars,sodium,fibre,serving size,servings/head,Rice (kg),Bangus (kg),Tilapia (kg),Galunggong (kg),Alumahan (kg),Beef Rump (kg),Beef Brisket (kg),Pork Kasim (kg),Pork Liempo (kg),Whole Chicken (kg),Egg (per piece),Cabbage (kg),Carrot (kg),Baguio Beans (kg),Potato (kg),Pechay Baguio (kg),Sayote (kg),Ampalaya (kg),Sitaw (kg),Pechay Tagalog (kg),Squash (kg),Eggplant (kg),Tomato (kg),Calamansi (kg),Banana (kg),Papaya (kg),Mango (kg),Red Onion (kg),White Onion (kg),Imported Garlic (kg),Local Garlic (kg),Ginger (kg),Siling Labuyo (kg),Refined Sugar (kg),Washed Sugar (kg),Brown Sugar (kg),Palm Oil (L),Coconut Oil (L)
0,Lugaw,3285.49,216.98,127.24,300.28,2.32,2030.4,5.58,4,2,0.42,0,0,0,0,0,0,0,0,0.348,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.07,0.0064,0,0,0,0,0,0
1,Chicken Adobo,1528.63,304.28,14.01,31,9.63,6181.12,9.19,4,1,0,0,0,0,0,0,0,0,0,1.36078,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.012,0.028,0,0,0,0,0,0
2,Lechon Kawali,3540.76,64.24,360.76,3.71,0.09,219.48,0.48,4,2,0,0,0,0,0,0,0,0,0.680389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0
3,Nilagang Baka,868.89,107.83,37.94,26.64,11.88,261.3,4.79,5,1,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.035,0,0,0,0,0,0,0
4,Tinola,46.9,3.5,0.07,8.5,4.93,4242.34,1.19,2,1,0,0,0,0,0,0,0,0,0,0.348,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0.198,0,0.012,0.0128,0,0,0,0,0,0
5,Chicken Chayote,2054.15,243.18,102.58,26.05,,,,5,2,0,0,0,0,0,0,0,0,0,0.907185,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064,0.0256,0,0,0,0,0,0
6,Picadillo,1027.45,94.37,58.39,27.31,,,,6,2,0,0,0,0,0,0,0.453592,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.141748,0,0,0,0,0.01,,0,0.024,0,0,0,0,0,0,0
7,Bicol Express,1710.8,64.25,151.99,39.3,,,,8,2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141748,0,0,0,0,0,0.198447,0,0.024,0,0.0125,0,0,0,0,0
8,Breakfast Steak,1108.48,208.12,15.58,21.2,,,,1,1,0,0,0,0,0,0,0,0,0.907185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0
9,Beef Pares,1763.56,131.7,42.01,225.76,,,,8,2,0,0,0,0,0,0,0,0,0.907185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396894,0,0.01,0.0064,0,0,0,0,0,0
10,Bopis,1476.17,83.83,107.35,41.38,,,,10,2,0,0,0,0,0,0,0,0,0.680389,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452592,0,0,0,0,0,0.198447,0,0.012,0,0,0,0,0,0,0
11,Eggplant Adobo,814.99,12.22,74.01,35.14,,,,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0,0
12,Spicy Eggplant,698.21,2.42,68.39,26.84,,,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.070874,0,0,0,0,0,0.198447,0,0.012,0,0.125,0,0,0,0,0
13,Chicken Cabbage Salad,615.42,3.68,54.42,33.04,,,,6,2,0,0,0,0,0,0,0,0,0,0.348,0,0.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396894,0,0,0,0,0,0,0,0,0
14,Pork Afritada,7318,281.46,658.08,60.96,16.6,11076.23,7.47,10,1,0,0,0,0,0,0,0,0,1.927768,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.141748,0.0275,0,0,0,0,0.198,0,0.012,0,0,0,0,0,0,0
15,Beef Caldereta,2375.71,99.13,81.86,325.68,128.56,3028.27,31.45,4,1,0,0,0,0,0,0.680389,0,0,0,0,0,0,0.14,0,0.4,0,0,0,0,0,0,0,0.708,0,0,0,0,0,0.198,0,0.018,0,0,0,0,0,0,0
16,Pork Menudo,1993.67,250.23,64.87,97.74,60.66,5837.5,9.18,10,1,0,0,0,0,0,0,0,0,0.453592,0,0,0,0.28,0,0.6,0,0,0,0,0,0,0,0.708,0.0275,0,0,0,0,0.198,0,0.012,0,0,0,0,0,0,0
17,Pinakbet,1189.8,104.97,65.82,52.16,22.09,410.54,16.86,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1133981,0,0,0.1133981,0.1133981,0.141748,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0
18,Chicken with Chicharo (alt Baguio Beans),2679.78,262.39,151.43,52.12,20.5,1645.27,11.28,6,1,0,0,0,0,0,0,0,0,0,0.907185,0,0,0.14,0.453592,0,0,0,0,0,0,0,0,0.141748,0,0,0,0,0,0.198,0,0.012,0,0,0,0,0,0,0
